,ClusterLabel
0,4
1,0
2,4
3,0
4,4
5,1
6,0
7,4
8,0
9,0
10,0
11,1
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,1
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,4
49,1
50,0
51,0
52,0
53,0
54,0
55,0
56,0
57,0
58,0
59,3
60,4
61,4
62,0
63,2
64,1
65,0
66,0
67,1
68,0
69,0
70,0
71,4
72,4
73,4
74,4
75,4
76,1
77,0
78,0
79,4
80,2
81,3
82,0
83,0
84,0
85,0
86,0
87,0
88,0
89,4
90,0
91,0
92,0
93,0
94,0
95,4
96,4
97,0
98,0
99,0
100,1
101,0
102,0
103,0
104,0
105,0
106,3
107,0
108,0
109,0
110,0
111,0
112,0
113,2
114,0
115,0
116,1
117,0
118,0
119,0
120,0
121,0
122,1
123,0
124,0
125,4
126,4
127,0
128,1
129,0
130,2
131,0
132,1
133,0
134,4
135,0
136,0
137,0
138,0
139,2
140,0
141,0
142,0
143,0
144,2
145,0
146,0
147,0
148,0
149,0
150,0
151,0
152,0
153,0
154,0
155,0
156,1
157,1
158,1
159,1
160,0
161,4
162,0
163,0
164,1
165,0
166,0
167,0
168,4
169,4
170,4
171,4
172,4
173,4
174,4
175,0
176,0
177,4
178,0
179,0
180,0
181,0
182,0
183,4
184,3
185,0
186,1
187,1
188,0
189,0
190,0
191,0
192,0
193,0
194,1
195,1
196,1
197,1
198,0
199,4
200,4
201,0
202,4
203,0
204,0
205,2
206,0
207,4
208,4
209,0
210,4
211,0
212,0
213,0
214,0
215,0
216,0
217,0
218,0
219,0
220,0
221,0
222,0
223,0
224,0
225,2
226,0
227,1
228,0
229,2
230,2
231,0
232,4
233,0
234,2
235,0
236,0
237,0
238,0
239,0
240,0
241,0
242,0
243,0
244,1
245,0
246,4
247,4
248,4
249,1
250,1
251,1
252,0
253,1
254,0
255,0
256,0
257,0
258,0
259,2
260,2
261,2
262,4
263,4
264,4
265,0
266,0
267,0
268,1
269,0
