,Cluster1,Cluster2,Distance,New Cluster Size
0,0.0,3.0,0.0,2.0
1,2.0,4.0,0.0,2.0
2,5.0,1867.0,0.0,3.0
3,6.0,1868.0,0.0,3.0
4,7.0,1869.0,0.0,4.0
5,390.0,517.0,0.0,2.0
6,424.0,551.0,0.0,2.0
7,425.0,552.0,0.0,2.0
8,427.0,554.0,0.0,2.0
9,891.0,892.0,0.0,2.0
10,893.0,1876.0,0.0,3.0
11,894.0,1877.0,0.0,4.0
12,402.0,529.0,0.0,2.0
13,375.0,502.0,0.0,2.0
14,101.0,199.0,0.0,2.0
15,77.0,78.0,0.0,2.0
16,1487.0,1881.0,0.0,3.0
17,399.0,526.0,0.0,2.0
18,763.0,1209.0,0.0,2.0
19,54.0,1313.0,0.0,2.0
20,65.0,1759.0,0.0,2.0
21,113.0,688.0,0.0,2.0
22,114.0,116.0,0.0,2.0
23,117.0,1889.0,0.0,3.0
24,118.0,1890.0,0.0,4.0
25,352.0,479.0,0.0,2.0
26,401.0,528.0,0.0,2.0
27,370.0,497.0,0.0,2.0
28,211.0,1812.0,0.0,2.0
29,219.0,220.0,0.0,2.0
30,223.0,1627.0,0.0,2.0
31,227.0,228.0,0.0,2.0
32,104.0,1479.0,0.0,2.0
33,436.0,563.0,0.0,2.0
34,381.0,508.0,0.0,2.0
35,398.0,525.0,0.0,2.0
36,400.0,527.0,0.0,2.0
37,441.0,568.0,0.0,2.0
38,447.0,574.0,0.0,2.0
39,410.0,537.0,0.0,2.0
40,198.0,1484.0,0.0,2.0
41,345.0,472.0,0.0,2.0
42,346.0,473.0,0.0,2.0
43,414.0,541.0,0.0,2.0
44,752.0,1769.0,0.0,2.0
45,621.0,1910.0,0.0,3.0
46,141.0,696.0,0.0,2.0
47,45.0,72.0,0.0,2.0
48,96.0,647.0,0.0,2.0
49,689.0,691.0,0.0,2.0
50,690.0,1888.0,0.0,3.0
51,716.0,726.0,0.0,2.0
52,729.0,1916.0,0.0,3.0
53,736.0,1919.0,0.0,4.0
54,727.0,1918.0,0.0,3.0
55,40.0,58.0,0.0,2.0
56,59.0,1922.0,0.0,3.0
57,61.0,1923.0,0.0,4.0
58,145.0,1924.0,0.0,5.0
59,146.0,679.0,0.0,2.0
60,680.0,1925.0,0.0,6.0
61,1252.0,1271.0,0.0,2.0
62,404.0,531.0,0.0,2.0
63,675.0,1321.0,0.0,2.0
64,681.0,1382.0,0.0,2.0
65,682.0,730.0,0.0,2.0
66,731.0,1932.0,0.0,3.0
67,829.0,1933.0,0.0,4.0
68,832.0,1225.0,0.0,2.0
69,838.0,1934.0,0.0,5.0
70,842.0,1220.0,0.0,2.0
71,1110.0,1936.0,0.0,6.0
72,37.0,38.0,0.0,2.0
73,922.0,924.0,0.0,2.0
74,1109.0,1117.0,0.0,2.0
75,1088.0,1090.0,0.0,2.0
76,1105.0,1113.0,0.0,2.0
77,1118.0,1943.0,0.0,3.0
78,1093.0,1099.0,0.0,2.0
79,1377.0,1942.0,0.0,3.0
80,1378.0,1946.0,0.0,4.0
81,1379.0,1947.0,0.0,5.0
82,1380.0,1948.0,0.0,6.0
83,1381.0,1949.0,0.0,7.0
84,1136.0,1365.0,0.0,2.0
85,1249.0,1251.0,0.0,2.0
86,1139.0,1938.0,0.0,7.0
87,1211.0,1953.0,0.0,8.0
88,1215.0,1954.0,0.0,9.0
89,1217.0,1955.0,0.0,10.0
90,1218.0,1956.0,0.0,11.0
91,1231.0,1957.0,0.0,12.0
92,1240.0,1958.0,0.0,13.0
93,1243.0,1959.0,0.0,14.0
94,1246.0,1960.0,0.0,15.0
95,1247.0,1250.0,0.0,2.0
96,1248.0,1961.0,0.0,16.0
97,1253.0,1962.0,0.0,3.0
98,1258.0,1963.0,0.0,17.0
99,1259.0,1965.0,0.0,18.0
100,1262.0,1966.0,0.0,19.0
101,1374.0,1967.0,0.0,20.0
102,1375.0,1968.0,0.0,21.0
103,1376.0,1969.0,0.0,22.0
104,1383.0,1970.0,0.0,23.0
105,1137.0,1941.0,0.0,3.0
106,115.0,119.0,0.0,2.0
107,1195.0,1196.0,0.0,2.0
108,646.0,1914.0,0.0,3.0
109,650.0,1975.0,0.0,4.0
110,651.0,1976.0,0.0,5.0
111,652.0,1977.0,0.0,6.0
112,653.0,1978.0,0.0,7.0
113,654.0,1979.0,0.0,8.0
114,655.0,1980.0,0.0,9.0
115,656.0,1981.0,0.0,10.0
116,657.0,1982.0,0.0,11.0
117,1357.0,1885.0,0.0,3.0
118,1451.0,1453.0,0.0,2.0
119,88.0,125.0,0.0,2.0
120,203.0,204.0,0.0,2.0
121,389.0,516.0,0.0,2.0
122,393.0,520.0,0.0,2.0
123,374.0,501.0,0.0,2.0
124,1608.0,1882.0,0.0,3.0
125,210.0,224.0,0.0,2.0
126,1775.0,1992.0,0.0,3.0
127,1801.0,1993.0,0.0,4.0
128,1816.0,1994.0,0.0,5.0
129,927.0,1523.0,0.0,2.0
130,368.0,495.0,0.0,2.0
131,371.0,498.0,0.0,2.0
132,143.0,1604.0,0.0,2.0
133,385.0,512.0,0.0,2.0
134,388.0,515.0,0.0,2.0
135,327.0,454.0,0.0,2.0
136,396.0,523.0,0.0,2.0
137,581.0,2002.0,0.0,3.0
138,588.0,2003.0,0.0,3.0
139,123.0,126.0,0.0,2.0
140,128.0,2006.0,0.0,3.0
141,828.0,837.0,0.0,2.0
142,1207.0,2008.0,0.0,3.0
143,1260.0,2009.0,0.0,4.0
144,1261.0,2010.0,0.0,5.0
145,1774.0,2011.0,0.0,6.0
146,363.0,490.0,0.0,2.0
147,420.0,547.0,0.0,2.0
148,421.0,548.0,0.0,2.0
149,171.0,1599.0,0.0,2.0
150,172.0,1601.0,0.0,2.0
151,239.0,240.0,0.0,2.0
152,243.0,2018.0,0.0,3.0
153,331.0,458.0,0.0,2.0
154,394.0,521.0,0.0,2.0
155,406.0,533.0,0.0,2.0
156,416.0,543.0,0.0,2.0
157,589.0,2020.0,0.0,3.0
158,206.0,1159.0,0.0,2.0
159,231.0,232.0,0.0,2.0
160,234.0,2026.0,0.0,3.0
161,448.0,575.0,0.0,2.0
162,353.0,480.0,0.0,2.0
163,373.0,500.0,0.0,2.0
164,397.0,524.0,0.0,2.0
165,432.0,559.0,0.0,2.0
166,434.0,561.0,0.0,2.0
167,437.0,564.0,0.0,2.0
168,440.0,567.0,0.0,2.0
169,451.0,578.0,0.0,2.0
170,358.0,485.0,0.0,2.0
171,659.0,669.0,0.0,2.0
172,677.0,2038.0,0.0,3.0
173,417.0,544.0,0.0,2.0
174,39.0,70.0,0.0,2.0
175,71.0,2041.0,0.0,3.0
176,160.0,695.0,0.0,2.0
177,386.0,513.0,0.0,2.0
178,407.0,534.0,0.0,2.0
179,415.0,542.0,0.0,2.0
180,449.0,576.0,0.0,2.0
181,445.0,572.0,0.0,2.0
182,1085.0,1131.0,0.0,2.0
183,1096.0,1112.0,0.0,2.0
184,1197.0,1198.0,0.0,2.0
185,1199.0,2051.0,0.0,3.0
186,384.0,511.0,0.0,2.0
187,338.0,465.0,0.0,2.0
188,584.0,2054.0,0.0,3.0
189,1545.0,1546.0,0.0,2.0
190,1547.0,2056.0,0.0,3.0
191,1548.0,2057.0,0.0,4.0
192,1549.0,2058.0,0.0,5.0
193,1550.0,2059.0,0.0,6.0
194,1551.0,2060.0,0.0,7.0
195,1552.0,2061.0,0.0,8.0
196,1553.0,2062.0,0.0,9.0
197,1554.0,2063.0,0.0,10.0
198,1555.0,2064.0,0.0,11.0
199,1556.0,2065.0,0.0,12.0
200,369.0,496.0,0.0,2.0
201,1678.0,1680.0,0.0,2.0
202,1681.0,2068.0,0.0,3.0
203,409.0,536.0,0.0,2.0
204,207.0,1157.0,0.0,2.0
205,176.0,178.0,0.0,2.0
206,179.0,2072.0,0.0,3.0
207,342.0,469.0,0.0,2.0
208,379.0,506.0,0.0,2.0
209,350.0,477.0,0.0,2.0
210,366.0,493.0,0.0,2.0
211,367.0,494.0,0.0,2.0
212,326.0,453.0,0.0,2.0
213,580.0,2079.0,0.0,3.0
214,356.0,483.0,0.0,2.0
215,412.0,539.0,0.0,2.0
216,332.0,459.0,0.0,2.0
217,380.0,507.0,0.0,2.0
218,585.0,2083.0,0.0,3.0
219,422.0,549.0,0.0,2.0
220,201.0,202.0,0.0,2.0
221,446.0,573.0,0.0,2.0
222,377.0,504.0,0.0,2.0
223,46.0,47.0,0.0,2.0
224,49.0,2090.0,0.0,3.0
225,50.0,2091.0,0.0,4.0
226,55.0,56.0,0.0,2.0
227,57.0,2093.0,0.0,3.0
228,84.0,85.0,0.0,2.0
229,133.0,134.0,0.0,2.0
230,190.0,2092.0,0.0,5.0
231,208.0,1158.0,0.0,2.0
232,215.0,216.0,0.0,2.0
233,217.0,2099.0,0.0,3.0
234,218.0,2100.0,0.0,4.0
235,335.0,462.0,0.0,2.0
236,586.0,2102.0,0.0,3.0
237,382.0,509.0,0.0,2.0
238,383.0,510.0,0.0,2.0
239,387.0,514.0,0.0,2.0
240,391.0,518.0,0.0,2.0
241,392.0,519.0,0.0,2.0
242,344.0,471.0,0.0,2.0
243,443.0,570.0,0.0,2.0
244,165.0,174.0,0.0,2.0
245,175.0,2111.0,0.0,3.0
246,261.0,262.0,0.0,2.0
247,347.0,474.0,0.0,2.0
248,1539.0,1540.0,0.0,2.0
249,1541.0,2115.0,0.0,3.0
250,1542.0,2116.0,0.0,4.0
251,1543.0,2117.0,0.0,5.0
252,1544.0,2118.0,0.0,6.0
253,1606.0,2097.0,0.0,6.0
254,1611.0,2120.0,0.0,7.0
255,1613.0,2096.0,0.0,3.0
256,1628.0,2098.0,0.0,3.0
257,450.0,577.0,0.0,2.0
258,1709.0,1710.0,0.0,2.0
259,69.0,105.0,0.0,2.0
260,93.0,94.0,0.0,2.0
261,95.0,2127.0,0.0,3.0
262,184.0,2126.0,0.0,3.0
263,185.0,2128.0,0.0,4.0
264,196.0,2130.0,0.0,5.0
265,339.0,466.0,0.0,2.0
266,403.0,530.0,0.0,2.0
267,658.0,664.0,0.0,2.0
268,836.0,1216.0,0.0,2.0
269,1086.0,2134.0,0.0,3.0
270,1097.0,1369.0,0.0,2.0
271,1104.0,1120.0,0.0,2.0
272,1101.0,1114.0,0.0,2.0
273,1127.0,2139.0,0.0,3.0
274,1224.0,2135.0,0.0,3.0
275,1254.0,2141.0,0.0,4.0
276,678.0,694.0,0.0,2.0
277,1103.0,1116.0,0.0,2.0
278,665.0,693.0,0.0,2.0
279,1384.0,2142.0,0.0,5.0
280,73.0,761.0,0.0,2.0
281,341.0,468.0,0.0,2.0
282,378.0,505.0,0.0,2.0
283,419.0,546.0,0.0,2.0
284,846.0,2147.0,0.0,3.0
285,1328.0,2151.0,0.0,4.0
286,1329.0,2152.0,0.0,5.0
287,1330.0,2153.0,0.0,6.0
288,1773.0,2154.0,0.0,7.0
289,845.0,1208.0,0.0,2.0
290,1342.0,1343.0,0.0,2.0
291,75.0,76.0,0.0,2.0
292,98.0,180.0,0.0,2.0
293,169.0,2158.0,0.0,3.0
294,170.0,2160.0,0.0,4.0
295,182.0,2159.0,0.0,3.0
296,1607.0,2161.0,0.0,5.0
297,1612.0,2163.0,0.0,6.0
298,121.0,166.0,0.0,2.0
299,35.0,41.0,0.0,2.0
300,42.0,2166.0,0.0,3.0
301,43.0,2167.0,0.0,4.0
302,51.0,2168.0,0.0,5.0
303,63.0,2169.0,0.0,6.0
304,64.0,2170.0,0.0,7.0
305,68.0,2171.0,0.0,8.0
306,74.0,2172.0,0.0,9.0
307,79.0,2173.0,0.0,10.0
308,120.0,2174.0,0.0,11.0
309,1805.0,1808.0,0.0,2.0
310,1393.0,1394.0,0.0,2.0
311,1100.0,1111.0,0.0,2.0
312,1128.0,2178.0,0.0,3.0
313,435.0,562.0,0.0,2.0
314,90.0,91.0,0.0,2.0
315,355.0,482.0,0.0,2.0
316,715.0,725.0,0.0,2.0
317,717.0,721.0,0.0,2.0
318,718.0,723.0,0.0,2.0
319,722.0,2184.0,0.0,3.0
320,724.0,2185.0,0.0,3.0
321,328.0,455.0,0.0,2.0
322,582.0,2188.0,0.0,3.0
323,944.0,947.0,0.0,2.0
324,827.0,839.0,0.0,2.0
325,1695.0,1746.0,0.0,2.0
326,411.0,538.0,0.0,2.0
327,112.0,684.0,0.0,2.0
328,452.0,579.0,0.0,2.0
329,418.0,545.0,0.0,2.0
330,438.0,565.0,0.0,2.0
331,365.0,492.0,0.0,2.0
332,1694.0,1745.0,0.0,2.0
333,364.0,491.0,0.0,2.0
334,429.0,556.0,0.0,2.0
335,161.0,162.0,0.0,2.0
336,330.0,457.0,0.0,2.0
337,583.0,2203.0,0.0,3.0
338,132.0,150.0,0.0,2.0
339,167.0,2205.0,0.0,3.0
340,348.0,475.0,0.0,2.0
341,1626.0,2071.0,0.0,3.0
342,376.0,503.0,0.0,2.0
343,360.0,487.0,0.0,2.0
344,1214.0,1221.0,0.0,2.0
345,329.0,456.0,0.0,2.0
346,625.0,2212.0,0.0,3.0
347,1052.0,1853.0,0.0,2.0
348,1213.0,1219.0,0.0,2.0
349,1620.0,1621.0,0.0,2.0
350,52.0,53.0,0.0,2.0
351,431.0,558.0,0.0,2.0
352,442.0,569.0,0.0,2.0
353,244.0,245.0,0.0,2.0
354,337.0,464.0,0.0,2.0
355,230.0,233.0,0.0,2.0
356,235.0,2222.0,0.0,3.0
357,236.0,2223.0,0.0,4.0
358,1241.0,1244.0,0.0,2.0
359,99.0,1142.0,0.0,2.0
360,1143.0,2226.0,0.0,3.0
361,1145.0,1148.0,0.0,2.0
362,1149.0,2228.0,0.0,3.0
363,1151.0,2227.0,0.0,4.0
364,1622.0,1623.0,0.0,2.0
365,1524.0,1525.0,0.0,2.0
366,1526.0,2232.0,0.0,3.0
367,1527.0,2233.0,0.0,4.0
368,1528.0,2234.0,0.0,5.0
369,1529.0,1530.0,0.0,2.0
370,1531.0,2236.0,0.0,3.0
371,1532.0,2237.0,0.0,4.0
372,1533.0,2238.0,0.0,5.0
373,1534.0,2239.0,0.0,6.0
374,1535.0,2240.0,0.0,7.0
375,1536.0,2241.0,0.0,8.0
376,1537.0,2242.0,0.0,9.0
377,1538.0,2243.0,0.0,10.0
378,433.0,560.0,0.0,2.0
379,1172.0,1173.0,0.0,2.0
380,1174.0,2246.0,0.0,3.0
381,1175.0,2247.0,0.0,4.0
382,1176.0,2248.0,0.0,5.0
383,372.0,499.0,0.0,2.0
384,405.0,532.0,0.0,2.0
385,444.0,571.0,0.0,2.0
386,614.0,2251.0,0.0,3.0
387,636.0,2245.0,0.0,3.0
388,351.0,478.0,0.0,2.0
389,1436.0,1437.0,0.0,2.0
390,1679.0,1682.0,0.0,2.0
391,336.0,463.0,0.0,2.0
392,587.0,2258.0,0.0,3.0
393,361.0,488.0,0.0,2.0
394,362.0,489.0,0.0,2.0
395,1212.0,1222.0,0.0,2.0
396,1205.0,1206.0,0.0,2.0
397,843.0,1771.0,0.0,2.0
398,1758.0,2042.0,0.0,4.0
399,426.0,553.0,0.0,2.0
400,395.0,522.0,0.0,2.0
401,1191.0,1192.0,0.0,2.0
402,1193.0,2268.0,0.0,3.0
403,1194.0,2269.0,0.0,4.0
404,259.0,260.0,0.0,2.0
405,359.0,486.0,0.0,2.0
406,413.0,540.0,0.0,2.0
407,357.0,484.0,0.0,2.0
408,408.0,535.0,0.0,2.0
409,1223.0,2156.0,0.0,3.0
410,1331.0,1332.0,0.0,2.0
411,1770.0,2276.0,0.0,4.0
412,1182.0,1184.0,0.0,2.0
413,1803.0,1807.0,0.0,2.0
414,1804.0,1806.0,0.0,2.0
415,221.0,222.0,0.0,2.0
416,1121.0,1138.0,0.0,2.0
417,1095.0,1102.0,0.0,2.0
418,1115.0,2284.0,0.0,3.0
419,430.0,557.0,0.0,2.0
420,1696.0,1747.0,0.0,2.0
421,1179.0,1180.0,0.0,2.0
422,354.0,481.0,0.0,2.0
423,334.0,461.0,0.0,2.0
424,349.0,476.0,0.0,2.0
425,81.0,82.0,0.0,2.0
426,135.0,2292.0,0.0,3.0
427,136.0,2293.0,0.0,4.0
428,137.0,2294.0,0.0,5.0
429,138.0,2295.0,0.0,6.0
430,139.0,2296.0,0.0,7.0
431,140.0,2297.0,0.0,8.0
432,147.0,2298.0,0.0,9.0
433,428.0,555.0,0.0,2.0
434,439.0,566.0,0.0,2.0
435,851.0,1210.0,0.0,2.0
436,1306.0,2302.0,0.0,3.0
437,1354.0,2303.0,0.0,4.0
438,1772.0,2304.0,0.0,5.0
439,1521.0,1522.0,0.0,2.0
440,333.0,460.0,0.0,2.0
441,343.0,470.0,0.0,2.0
442,1185.0,1186.0,0.0,2.0
443,1187.0,2309.0,0.0,3.0
444,1188.0,2310.0,0.0,4.0
445,1189.0,2311.0,0.0,5.0
446,1190.0,2312.0,0.0,6.0
447,1683.0,1685.0,0.0,2.0
448,1687.0,2314.0,0.0,3.0
449,156.0,157.0,0.0,2.0
450,158.0,2316.0,0.0,3.0
451,340.0,467.0,0.0,2.0
452,1684.0,1689.0,0.0,2.0
453,423.0,550.0,0.0,2.0
454,122.0,124.0,0.0,2.0
455,181.0,183.0,0.0,2.0
456,163.0,164.0,0.0,2.0
457,263.0,2323.0,0.0,3.0
458,264.0,2324.0,0.0,4.0
459,1819.0,1821.0,0.0,2.0
460,1412.0,1413.0,0.9999999999999998,2.0
461,1414.0,2327.0,0.9999999999999998,3.0
462,751.0,757.0,0.9999999999999999,2.0
463,1411.0,2329.0,0.9999999999999999,3.0
464,2328.0,2330.0,0.9999999999999999,6.0
465,1750.0,2331.0,0.9999999999999999,7.0
466,766.0,857.0,1.0,2.0
467,1301.0,1314.0,1.0,2.0
468,60.0,1267.0,1.0,2.0
469,831.0,1361.0,1.0,2.0
470,840.0,841.0,1.0,2.0
471,745.0,747.0,1.0,2.0
472,1122.0,1124.0,1.0,2.0
473,1133.0,1363.0,1.0,2.0
474,1364.0,2340.0,1.0,3.0
475,1272.0,1455.0,1.0,2.0
476,740.0,742.0,1.0,2.0
