,Cluster1,Cluster2,Distance,New Cluster Size
0,0.0,4.0,0.0,2.0
1,1.0,3.0,0.0,2.0
2,681.0,682.0,0.0,2.0
3,700.0,701.0,0.0,2.0
4,692.0,693.0,0.0,2.0
5,599.0,600.0,0.0,2.0
6,601.0,907.0,0.0,3.0
7,671.0,672.0,0.0,2.0
8,720.0,721.0,0.0,2.0
9,722.0,723.0,0.0,2.0
10,724.0,911.0,0.0,3.0
11,746.0,747.0,0.0,2.0
12,748.0,913.0,0.0,3.0
13,749.0,914.0,0.0,4.0
14,750.0,915.0,0.0,5.0
15,751.0,916.0,0.0,6.0
16,788.0,789.0,0.0,2.0
17,790.0,918.0,0.0,3.0
18,791.0,919.0,0.0,4.0
19,792.0,920.0,0.0,5.0
20,793.0,921.0,0.0,6.0
21,794.0,922.0,0.0,7.0
22,823.0,824.0,0.0,2.0
23,825.0,924.0,0.0,3.0
24,596.0,597.0,0.0,2.0
25,646.0,647.0,0.0,2.0
26,762.0,763.0,0.0,2.0
27,764.0,928.0,0.0,3.0
28,7.0,902.0,0.0,3.0
29,852.0,854.0,0.0,2.0
30,169.0,170.0,0.0,2.0
31,199.0,200.0,0.0,2.0
32,72.0,73.0,0.0,2.0
33,74.0,934.0,0.0,3.0
34,75.0,935.0,0.0,4.0
35,436.0,437.0,0.0,2.0
36,438.0,937.0,0.0,3.0
37,731.0,732.0,0.0,2.0
38,657.0,658.0,0.0,2.0
39,659.0,660.0,0.0,2.0
40,661.0,941.0,0.0,3.0
41,466.0,467.0,0.0,2.0
42,726.0,727.0,0.0,2.0
43,728.0,944.0,0.0,3.0
44,729.0,945.0,0.0,4.0
45,216.0,217.0,0.0,2.0
46,675.0,676.0,0.0,2.0
47,212.0,213.0,0.0,2.0
48,214.0,949.0,0.0,3.0
49,215.0,950.0,0.0,4.0
50,218.0,219.0,0.0,2.0
51,220.0,952.0,0.0,3.0
52,221.0,953.0,0.0,4.0
53,239.0,240.0,0.0,2.0
54,207.0,208.0,0.0,2.0
55,808.0,809.0,0.0,2.0
56,262.0,263.0,0.0,2.0
57,264.0,958.0,0.0,3.0
58,6.0,903.0,0.0,3.0
59,13.0,21.0,0.0,2.0
60,27.0,36.0,0.0,2.0
61,53.0,57.0,0.0,2.0
62,636.0,637.0,0.0,2.0
63,17.0,960.0,0.0,4.0
64,431.0,432.0,0.0,2.0
