,Cluster1,Cluster2,Distance,New Cluster Size
0,0.0,3.0,0.0,2.0
1,1.0,4.0,0.0,2.0
2,5.0,1941.0,0.0,3.0
3,6.0,1942.0,0.0,3.0
4,7.0,1943.0,0.0,4.0
5,8.0,1944.0,0.0,4.0
6,342.0,469.0,0.0,2.0
7,136.0,137.0,0.0,2.0
8,55.0,1323.0,0.0,2.0
9,211.0,1168.0,0.0,2.0
10,91.0,92.0,0.0,2.0
11,174.0,1609.0,0.0,2.0
12,355.0,482.0,0.0,2.0
13,384.0,511.0,0.0,2.0
14,397.0,524.0,0.0,2.0
15,421.0,548.0,0.0,2.0
16,41.0,59.0,0.0,2.0
17,60.0,1957.0,0.0,3.0
18,61.0,1958.0,0.0,4.0
19,62.0,1959.0,0.0,5.0
20,148.0,1960.0,0.0,6.0
21,149.0,1961.0,0.0,7.0
22,427.0,554.0,0.0,2.0
23,825.0,826.0,0.0,2.0
24,422.0,549.0,0.0,2.0
25,100.0,1152.0,0.0,2.0
26,116.0,120.0,0.0,2.0
27,184.0,186.0,0.0,2.0
28,304.0,306.0,0.0,2.0
29,329.0,456.0,0.0,2.0
30,375.0,502.0,0.0,2.0
31,583.0,1970.0,0.0,3.0
32,1623.0,1948.0,0.0,3.0
33,1638.0,1950.0,0.0,3.0
34,105.0,1489.0,0.0,2.0
35,175.0,1611.0,0.0,2.0
36,224.0,225.0,0.0,2.0
37,230.0,231.0,0.0,2.0
38,432.0,559.0,0.0,2.0
39,433.0,560.0,0.0,2.0
40,434.0,561.0,0.0,2.0
41,435.0,562.0,0.0,2.0
42,1701.0,1702.0,0.0,2.0
43,1171.0,1172.0,0.0,2.0
44,89.0,128.0,0.0,2.0
45,179.0,180.0,0.0,2.0
46,181.0,1986.0,0.0,3.0
47,182.0,1987.0,0.0,4.0
48,1707.0,1758.0,0.0,2.0
49,25.0,26.0,0.0,2.0
50,204.0,205.0,0.0,2.0
51,347.0,474.0,0.0,2.0
52,371.0,498.0,0.0,2.0
53,378.0,505.0,0.0,2.0
54,409.0,536.0,0.0,2.0
55,1627.0,1629.0,0.0,2.0
56,144.0,699.0,0.0,2.0
57,661.0,667.0,0.0,2.0
58,233.0,236.0,0.0,2.0
59,238.0,1999.0,0.0,3.0
60,239.0,2000.0,0.0,4.0
61,262.0,263.0,0.0,2.0
62,135.0,153.0,0.0,2.0
63,170.0,2003.0,0.0,3.0
64,171.0,2004.0,0.0,4.0
65,271.0,280.0,0.0,2.0
66,351.0,478.0,0.0,2.0
67,449.0,576.0,0.0,2.0
68,846.0,1226.0,0.0,2.0
69,861.0,1220.0,0.0,2.0
70,1096.0,1998.0,0.0,3.0
71,1107.0,1379.0,0.0,2.0
72,1110.0,1121.0,0.0,2.0
73,1111.0,2011.0,0.0,4.0
74,1113.0,1126.0,0.0,2.0
75,1114.0,1130.0,0.0,2.0
76,1124.0,2014.0,0.0,5.0
77,1137.0,2017.0,0.0,6.0
78,1138.0,2013.0,0.0,3.0
79,1150.0,2016.0,0.0,3.0
80,1234.0,2009.0,0.0,3.0
81,1264.0,2021.0,0.0,4.0
82,1316.0,2010.0,0.0,3.0
83,1364.0,2023.0,0.0,4.0
84,1380.0,2012.0,0.0,3.0
85,1394.0,2022.0,0.0,5.0
86,36.0,42.0,0.0,2.0
87,43.0,2027.0,0.0,3.0
88,44.0,2028.0,0.0,4.0
89,52.0,2029.0,0.0,5.0
90,64.0,2030.0,0.0,6.0
91,65.0,2031.0,0.0,7.0
92,69.0,2032.0,0.0,8.0
93,70.0,106.0,0.0,2.0
94,75.0,2033.0,0.0,9.0
95,76.0,77.0,0.0,2.0
96,80.0,2035.0,0.0,10.0
97,90.0,2037.0,0.0,11.0
98,94.0,95.0,0.0,2.0
99,96.0,2039.0,0.0,3.0
100,99.0,2036.0,0.0,3.0
101,121.0,2038.0,0.0,12.0
102,158.0,1568.0,0.0,2.0
103,159.0,160.0,0.0,2.0
104,161.0,2044.0,0.0,3.0
105,172.0,2041.0,0.0,4.0
106,173.0,2046.0,0.0,5.0
107,183.0,2047.0,0.0,6.0
108,185.0,2048.0,0.0,7.0
109,187.0,2034.0,0.0,3.0
110,188.0,2040.0,0.0,4.0
111,206.0,207.0,0.0,2.0
112,1531.0,2024.0,0.0,5.0
113,1532.0,2053.0,0.0,6.0
114,1720.0,1721.0,0.0,2.0
115,1846.0,2054.0,0.0,7.0
116,199.0,2051.0,0.0,5.0
117,203.0,1677.0,0.0,2.0
118,213.0,227.0,0.0,2.0
119,937.0,2059.0,0.0,3.0
120,1533.0,2060.0,0.0,4.0
121,1849.0,2061.0,0.0,5.0
122,339.0,466.0,0.0,2.0
123,357.0,484.0,0.0,2.0
124,359.0,486.0,0.0,2.0
125,360.0,487.0,0.0,2.0
126,590.0,2063.0,0.0,3.0
127,1195.0,1196.0,0.0,2.0
128,1197.0,2068.0,0.0,3.0
129,1198.0,2069.0,0.0,4.0
130,1199.0,2070.0,0.0,5.0
131,1200.0,2071.0,0.0,6.0
132,163.0,698.0,0.0,2.0
133,53.0,54.0,0.0,2.0
134,102.0,202.0,0.0,2.0
135,776.0,867.0,0.0,2.0
136,834.0,835.0,0.0,2.0
137,201.0,1494.0,0.0,2.0
138,348.0,475.0,0.0,2.0
139,349.0,476.0,0.0,2.0
140,350.0,477.0,0.0,2.0
141,372.0,499.0,0.0,2.0
142,345.0,472.0,0.0,2.0
143,389.0,516.0,0.0,2.0
144,417.0,544.0,0.0,2.0
145,624.0,2085.0,0.0,3.0
146,808.0,1742.0,0.0,2.0
147,1569.0,1582.0,0.0,2.0
148,1573.0,1576.0,0.0,2.0
149,1706.0,1757.0,0.0,2.0
150,1579.0,1585.0,0.0,2.0
151,1581.0,1584.0,0.0,2.0
152,1589.0,2091.0,0.0,3.0
153,1590.0,2093.0,0.0,4.0
154,1617.0,2049.0,0.0,8.0
155,1622.0,2095.0,0.0,9.0
156,146.0,1614.0,0.0,2.0
157,164.0,165.0,0.0,2.0
158,425.0,552.0,0.0,2.0
159,333.0,460.0,0.0,2.0
160,367.0,494.0,0.0,2.0
161,373.0,500.0,0.0,2.0
162,374.0,501.0,0.0,2.0
163,586.0,2100.0,0.0,3.0
164,1875.0,2062.0,0.0,6.0
165,1890.0,2105.0,0.0,7.0
166,369.0,496.0,0.0,2.0
167,370.0,497.0,0.0,2.0
