,Cluster1,Cluster2,Distance,New Cluster Size
0,0.0,4.0,0.0,2.0
1,1.0,3.0,0.0,2.0
2,6.0,903.0,0.0,3.0
3,7.0,902.0,0.0,3.0
4,13.0,21.0,0.0,2.0
5,27.0,36.0,0.0,2.0
6,17.0,904.0,0.0,4.0
7,95.0,96.0,0.0,2.0
8,169.0,170.0,0.0,2.0
9,171.0,172.0,0.0,2.0
10,199.0,200.0,0.0,2.0
11,201.0,202.0,0.0,2.0
12,207.0,208.0,0.0,2.0
13,247.0,248.0,0.0,2.0
14,382.0,383.0,0.0,2.0
15,377.0,378.0,0.0,2.0
16,524.0,525.0,0.0,2.0
17,526.0,527.0,0.0,2.0
18,534.0,535.0,0.0,2.0
19,622.0,623.0,0.0,2.0
20,624.0,921.0,0.0,3.0
21,625.0,922.0,0.0,4.0
22,626.0,923.0,0.0,5.0
23,69.0,70.0,0.0,2.0
24,14.0,25.0,0.0,2.0
25,47.0,926.0,0.0,3.0
26,28.0,29.0,0.0,2.0
27,30.0,928.0,0.0,3.0
28,31.0,929.0,0.0,4.0
29,32.0,930.0,0.0,5.0
30,33.0,931.0,0.0,6.0
31,34.0,932.0,0.0,7.0
32,35.0,933.0,0.0,8.0
33,135.0,136.0,0.0,2.0
34,137.0,935.0,0.0,3.0
35,259.0,260.0,0.0,2.0
36,261.0,937.0,0.0,3.0
37,262.0,938.0,0.0,4.0
38,263.0,939.0,0.0,5.0
39,264.0,940.0,0.0,6.0
40,284.0,285.0,0.0,2.0
41,266.0,267.0,0.0,2.0
42,269.0,270.0,0.0,2.0
43,15.0,16.0,0.0,2.0
44,278.0,279.0,0.0,2.0
45,280.0,946.0,0.0,3.0
46,281.0,947.0,0.0,4.0
47,282.0,948.0,0.0,5.0
48,283.0,949.0,0.0,6.0
49,286.0,287.0,0.0,2.0
50,288.0,951.0,0.0,3.0
51,877.0,878.0,0.0,2.0
52,879.0,880.0,0.0,2.0
53,881.0,954.0,0.0,3.0
54,882.0,955.0,0.0,4.0
55,883.0,956.0,0.0,5.0
56,398.0,399.0,0.0,2.0
57,324.0,325.0,0.0,2.0
58,326.0,959.0,0.0,3.0
59,327.0,960.0,0.0,4.0
60,337.0,338.0,0.0,2.0
61,11.0,852.0,0.0,2.0
62,443.0,444.0,0.0,2.0
63,445.0,964.0,0.0,3.0
64,446.0,965.0,0.0,4.0
