,Cluster1,Cluster2,Distance,New Cluster Size
0,0.0,3.0,0.0,2.0
1,2.0,4.0,0.0,2.0
2,5.0,1867.0,0.0,3.0
3,6.0,1868.0,0.0,3.0
4,7.0,1869.0,0.0,4.0
5,112.0,684.0,0.0,2.0
6,685.0,1872.0,0.0,3.0
7,734.0,735.0,0.0,2.0
8,301.0,306.0,0.0,2.0
9,115.0,119.0,0.0,2.0
10,347.0,474.0,0.0,2.0
11,97.0,649.0,0.0,2.0
12,156.0,157.0,0.0,2.0
13,158.0,1879.0,0.0,3.0
14,35.0,41.0,0.0,2.0
15,36.0,1610.0,0.0,2.0
16,37.0,38.0,0.0,2.0
17,39.0,70.0,0.0,2.0
18,40.0,58.0,0.0,2.0
19,42.0,1881.0,0.0,3.0
20,43.0,1886.0,0.0,4.0
21,51.0,1887.0,0.0,5.0
22,45.0,72.0,0.0,2.0
23,46.0,47.0,0.0,2.0
24,49.0,1890.0,0.0,3.0
25,763.0,1209.0,0.0,2.0
26,1357.0,1892.0,0.0,3.0
27,50.0,1891.0,0.0,4.0
28,190.0,1894.0,0.0,5.0
29,63.0,1888.0,0.0,6.0
30,52.0,53.0,0.0,2.0
31,433.0,560.0,0.0,2.0
32,636.0,1898.0,0.0,3.0
33,54.0,1303.0,0.0,2.0
34,55.0,56.0,0.0,2.0
35,57.0,1901.0,0.0,3.0
36,1606.0,1895.0,0.0,6.0
37,1611.0,1903.0,0.0,7.0
38,59.0,1885.0,0.0,3.0
39,61.0,1905.0,0.0,4.0
40,86.0,1906.0,0.0,5.0
41,144.0,146.0,0.0,2.0
42,145.0,1907.0,0.0,6.0
43,149.0,670.0,0.0,2.0
44,64.0,1896.0,0.0,7.0
45,68.0,1911.0,0.0,8.0
46,65.0,1759.0,0.0,2.0
47,327.0,454.0,0.0,2.0
48,355.0,482.0,0.0,2.0
49,396.0,523.0,0.0,2.0
50,581.0,1914.0,0.0,3.0
51,588.0,1916.0,0.0,3.0
52,616.0,1917.0,0.0,4.0
53,74.0,1912.0,0.0,9.0
54,69.0,105.0,0.0,2.0
55,71.0,1884.0,0.0,3.0
56,1758.0,1922.0,0.0,4.0
57,646.0,1889.0,0.0,3.0
58,73.0,761.0,0.0,2.0
59,79.0,1920.0,0.0,10.0
60,75.0,76.0,0.0,2.0
61,169.0,1927.0,0.0,3.0
62,77.0,78.0,0.0,2.0
63,1608.0,1929.0,0.0,3.0
64,120.0,1926.0,0.0,11.0
65,81.0,82.0,0.0,2.0
66,135.0,1932.0,0.0,3.0
67,84.0,85.0,0.0,2.0
68,104.0,1479.0,0.0,2.0
69,1694.0,1745.0,0.0,2.0
70,452.0,579.0,0.0,2.0
71,352.0,479.0,0.0,2.0
72,88.0,125.0,0.0,2.0
73,90.0,91.0,0.0,2.0
74,100.0,154.0,0.0,2.0
75,93.0,94.0,0.0,2.0
76,95.0,1942.0,0.0,3.0
77,185.0,1943.0,0.0,4.0
78,96.0,647.0,0.0,2.0
79,98.0,180.0,0.0,2.0
80,99.0,1142.0,0.0,2.0
81,101.0,199.0,0.0,2.0
82,1487.0,1948.0,0.0,3.0
83,184.0,1921.0,0.0,3.0
84,163.0,164.0,0.0,2.0
85,446.0,573.0,0.0,2.0
86,223.0,1627.0,0.0,2.0
87,259.0,260.0,0.0,2.0
88,261.0,262.0,0.0,2.0
89,1197.0,1198.0,0.0,2.0
90,1199.0,1956.0,0.0,3.0
91,263.0,1951.0,0.0,3.0
92,264.0,1958.0,0.0,4.0
93,436.0,563.0,0.0,2.0
94,424.0,551.0,0.0,2.0
95,345.0,472.0,0.0,2.0
96,113.0,688.0,0.0,2.0
97,114.0,116.0,0.0,2.0
98,117.0,1964.0,0.0,3.0
99,118.0,1965.0,0.0,4.0
100,132.0,150.0,0.0,2.0
101,133.0,134.0,0.0,2.0
102,165.0,174.0,0.0,2.0
103,167.0,1967.0,0.0,3.0
104,175.0,1969.0,0.0,3.0
105,203.0,204.0,0.0,2.0
106,207.0,1157.0,0.0,2.0
107,210.0,224.0,0.0,2.0
108,745.0,747.0,0.0,2.0
109,338.0,465.0,0.0,2.0
110,415.0,417.0,0.0,2.0
111,423.0,550.0,0.0,2.0
112,441.0,568.0,0.0,2.0
113,542.0,1977.0,0.0,3.0
114,544.0,1980.0,0.0,4.0
115,584.0,1976.0,0.0,3.0
116,650.0,1924.0,0.0,4.0
117,651.0,1983.0,0.0,5.0
118,652.0,1984.0,0.0,6.0
119,653.0,1985.0,0.0,7.0
120,654.0,1986.0,0.0,8.0
121,655.0,1987.0,0.0,9.0
122,656.0,1988.0,0.0,10.0
123,657.0,1989.0,0.0,11.0
124,658.0,664.0,0.0,2.0
125,660.0,1908.0,0.0,3.0
126,665.0,1992.0,0.0,4.0
127,675.0,1993.0,0.0,5.0
128,676.0,1994.0,0.0,6.0
129,678.0,1909.0,0.0,7.0
130,679.0,1995.0,0.0,7.0
131,680.0,1996.0,0.0,8.0
132,681.0,832.0,0.0,2.0
133,682.0,1997.0,0.0,8.0
134,683.0,2000.0,0.0,9.0
135,693.0,2001.0,0.0,10.0
136,694.0,1998.0,0.0,9.0
137,730.0,2002.0,0.0,11.0
138,731.0,2004.0,0.0,12.0
139,366.0,493.0,0.0,2.0
140,367.0,494.0,0.0,2.0
141,408.0,535.0,0.0,2.0
142,829.0,2005.0,0.0,13.0
143,830.0,1242.0,0.0,2.0
144,836.0,1991.0,0.0,3.0
145,838.0,2009.0,0.0,14.0
146,842.0,1095.0,0.0,2.0
147,1539.0,1540.0,0.0,2.0
148,1541.0,2014.0,0.0,3.0
149,1542.0,2015.0,0.0,4.0
150,1543.0,2016.0,0.0,5.0
151,1544.0,2017.0,0.0,6.0
152,968.0,969.0,0.0,2.0
153,1083.0,1084.0,0.0,2.0
154,1086.0,2011.0,0.0,4.0
155,1088.0,1090.0,0.0,2.0
156,1093.0,1099.0,0.0,2.0
157,1097.0,2021.0,0.0,5.0
158,1101.0,1114.0,0.0,2.0
159,1102.0,2013.0,0.0,3.0
160,1103.0,2024.0,0.0,6.0
161,1104.0,2027.0,0.0,7.0
162,1108.0,1999.0,0.0,3.0
163,1110.0,2012.0,0.0,15.0
164,1115.0,2026.0,0.0,4.0
165,1116.0,2028.0,0.0,8.0
166,1120.0,2032.0,0.0,9.0
167,1121.0,1138.0,0.0,2.0
168,1123.0,2022.0,0.0,3.0
169,1125.0,2030.0,0.0,16.0
170,1127.0,2025.0,0.0,3.0
171,1136.0,1365.0,0.0,2.0
172,1139.0,2036.0,0.0,17.0
173,1140.0,2037.0,0.0,4.0
174,1179.0,1180.0,0.0,2.0
175,1182.0,1184.0,0.0,2.0
176,1195.0,1196.0,0.0,2.0
177,170.0,1928.0,0.0,4.0
178,182.0,1946.0,0.0,3.0
179,343.0,470.0,0.0,2.0
180,346.0,473.0,0.0,2.0
181,1607.0,2044.0,0.0,5.0
182,1612.0,2048.0,0.0,6.0
183,1211.0,2039.0,0.0,18.0
184,1215.0,2050.0,0.0,19.0
185,1216.0,2033.0,0.0,10.0
186,1217.0,2051.0,0.0,20.0
187,1218.0,2053.0,0.0,21.0
188,1220.0,2031.0,0.0,5.0
189,1224.0,2052.0,0.0,11.0
190,1225.0,2029.0,0.0,4.0
191,1231.0,2054.0,0.0,22.0
192,1240.0,2058.0,0.0,23.0
193,1241.0,2059.0,0.0,24.0
194,1243.0,2060.0,0.0,25.0
195,1244.0,2061.0,0.0,26.0
196,1246.0,2062.0,0.0,27.0
197,1247.0,2056.0,0.0,12.0
198,1248.0,2063.0,0.0,28.0
199,1250.0,2064.0,0.0,13.0
200,1252.0,2057.0,0.0,5.0
201,1253.0,2066.0,0.0,14.0
202,1254.0,2068.0,0.0,15.0
203,1258.0,2065.0,0.0,29.0
204,1259.0,2070.0,0.0,30.0
205,1262.0,2071.0,0.0,31.0
206,1267.0,2069.0,0.0,16.0
207,1271.0,2067.0,0.0,6.0
208,1272.0,2072.0,0.0,32.0
209,1274.0,2073.0,0.0,17.0
210,1321.0,2075.0,0.0,33.0
211,1370.0,2035.0,0.0,4.0
212,1369.0,2076.0,0.0,18.0
213,1374.0,2077.0,0.0,34.0
214,1375.0,2080.0,0.0,35.0
215,1376.0,2081.0,0.0,36.0
216,1377.0,2078.0,0.0,5.0
217,1378.0,2083.0,0.0,6.0
218,1379.0,2084.0,0.0,7.0
219,1380.0,2085.0,0.0,8.0
220,1381.0,2086.0,0.0,9.0
221,1382.0,2074.0,0.0,7.0
222,1383.0,2082.0,0.0,37.0
223,1384.0,2079.0,0.0,19.0
224,1393.0,1394.0,0.0,2.0
225,1397.0,2023.0,0.0,3.0
226,1430.0,2087.0,0.0,10.0
227,1446.0,2040.0,0.0,5.0
228,1455.0,2089.0,0.0,38.0
229,400.0,527.0,0.0,2.0
230,403.0,530.0,0.0,2.0
231,432.0,559.0,0.0,2.0
232,221.0,222.0,0.0,2.0
233,899.0,900.0,0.0,2.0
234,1609.0,1931.0,0.0,12.0
235,1613.0,1968.0,0.0,3.0
236,1626.0,1973.0,0.0,3.0
237,1678.0,1680.0,0.0,2.0
238,1681.0,2104.0,0.0,3.0
239,382.0,509.0,0.0,2.0
240,1695.0,1746.0,0.0,2.0
241,335.0,462.0,0.0,2.0
242,395.0,522.0,0.0,2.0
243,586.0,2108.0,0.0,3.0
244,337.0,464.0,0.0,2.0
245,360.0,487.0,0.0,2.0
246,689.0,691.0,0.0,2.0
247,690.0,1963.0,0.0,3.0
248,729.0,2113.0,0.0,3.0
249,736.0,2115.0,0.0,4.0
250,359.0,486.0,0.0,2.0
251,365.0,492.0,0.0,2.0
252,307.0,320.0,0.0,2.0
253,333.0,460.0,0.0,2.0
254,385.0,512.0,0.0,2.0
255,1775.0,1974.0,0.0,3.0
256,1801.0,2122.0,0.0,4.0
257,1816.0,2123.0,0.0,5.0
258,1819.0,1821.0,0.0,2.0
259,704.0,705.0,0.0,2.0
260,707.0,2126.0,0.0,3.0
261,414.0,541.0,0.0,2.0
262,621.0,2128.0,0.0,3.0
263,639.0,2129.0,0.0,4.0
264,1679.0,1682.0,0.0,2.0
265,1203.0,2127.0,0.0,4.0
266,155.0,159.0,0.0,2.0
267,211.0,1812.0,0.0,2.0
268,404.0,531.0,0.0,2.0
269,141.0,696.0,0.0,2.0
270,196.0,1944.0,0.0,5.0
271,227.0,228.0,0.0,2.0
272,230.0,233.0,0.0,2.0
273,235.0,2139.0,0.0,3.0
274,236.0,2140.0,0.0,4.0
275,339.0,466.0,0.0,2.0
276,354.0,481.0,0.0,2.0
277,362.0,489.0,0.0,2.0
278,364.0,491.0,0.0,2.0
279,383.0,510.0,0.0,2.0
280,411.0,538.0,0.0,2.0
281,419.0,546.0,0.0,2.0
282,422.0,549.0,0.0,2.0
283,429.0,556.0,0.0,2.0
284,430.0,557.0,0.0,2.0
285,435.0,562.0,0.0,2.0
286,437.0,564.0,0.0,2.0
287,439.0,566.0,0.0,2.0
288,440.0,567.0,0.0,2.0
289,450.0,577.0,0.0,2.0
290,371.0,498.0,0.0,2.0
291,827.0,839.0,0.0,2.0
292,840.0,1098.0,0.0,2.0
293,1212.0,1222.0,0.0,2.0
294,330.0,457.0,0.0,2.0
295,583.0,2161.0,0.0,3.0
296,198.0,1484.0,0.0,2.0
297,237.0,239.0,0.0,2.0
298,240.0,2164.0,0.0,3.0
299,242.0,2165.0,0.0,4.0
300,243.0,2166.0,0.0,5.0
301,1043.0,1046.0,0.0,2.0
302,1091.0,1372.0,0.0,2.0
303,1105.0,2159.0,0.0,3.0
304,1113.0,2170.0,0.0,4.0
305,1118.0,2171.0,0.0,5.0
306,1143.0,1947.0,0.0,3.0
307,1151.0,2173.0,0.0,4.0
308,1152.0,2174.0,0.0,5.0
309,1185.0,1186.0,0.0,2.0
310,1187.0,2176.0,0.0,3.0
311,1188.0,2177.0,0.0,4.0
312,1189.0,2178.0,0.0,5.0
313,1190.0,2179.0,0.0,6.0
314,1191.0,1192.0,0.0,2.0
315,1193.0,2181.0,0.0,3.0
316,1194.0,2182.0,0.0,4.0
317,1205.0,1206.0,0.0,2.0
318,1559.0,1562.0,0.0,2.0
319,1683.0,1685.0,0.0,2.0
320,1687.0,2186.0,0.0,3.0
321,1690.0,1693.0,0.0,2.0
322,1803.0,1807.0,0.0,2.0
323,208.0,1158.0,0.0,2.0
324,390.0,517.0,0.0,2.0
325,397.0,524.0,0.0,2.0
326,399.0,526.0,0.0,2.0
327,425.0,552.0,0.0,2.0
328,1301.0,1314.0,0.0,2.0
329,1628.0,2190.0,0.0,3.0
330,1313.0,1900.0,0.0,3.0
331,123.0,126.0,0.0,2.0
332,128.0,2198.0,0.0,3.0
333,143.0,1604.0,0.0,2.0
334,171.0,1599.0,0.0,2.0
335,406.0,533.0,0.0,2.0
336,206.0,1159.0,0.0,2.0
337,231.0,232.0,0.0,2.0
338,234.0,2204.0,0.0,3.0
339,434.0,561.0,0.0,2.0
340,248.0,249.0,0.0,2.0
341,381.0,508.0,0.0,2.0
342,448.0,575.0,0.0,2.0
343,309.0,312.0,0.0,2.0
344,353.0,480.0,0.0,2.0
345,368.0,495.0,0.0,2.0
346,373.0,500.0,0.0,2.0
347,388.0,515.0,0.0,2.0
348,394.0,521.0,0.0,2.0
349,416.0,543.0,0.0,2.0
350,659.0,669.0,0.0,2.0
351,677.0,2217.0,0.0,3.0
352,771.0,772.0,0.0,2.0
353,891.0,892.0,0.0,2.0
354,893.0,2220.0,0.0,3.0
355,894.0,2221.0,0.0,4.0
356,1561.0,1567.0,0.0,2.0
357,1085.0,1131.0,0.0,2.0
358,1096.0,1112.0,0.0,2.0
359,1134.0,1255.0,0.0,2.0
360,409.0,536.0,0.0,2.0
361,1709.0,1710.0,0.0,2.0
362,324.0,325.0,0.0,2.0
363,336.0,463.0,0.0,2.0
364,374.0,501.0,0.0,2.0
365,393.0,520.0,0.0,2.0
366,426.0,553.0,0.0,2.0
367,443.0,570.0,0.0,2.0
368,451.0,578.0,0.0,2.0
369,587.0,2230.0,0.0,3.0
370,927.0,939.0,0.0,2.0
371,1524.0,1525.0,0.0,2.0
372,1526.0,2238.0,0.0,3.0
373,1527.0,2239.0,0.0,4.0
374,1528.0,2240.0,0.0,5.0
375,161.0,162.0,0.0,2.0
376,244.0,245.0,0.0,2.0
377,247.0,2243.0,0.0,3.0
378,445.0,572.0,0.0,2.0
379,172.0,1601.0,0.0,2.0
380,176.0,178.0,0.0,2.0
381,179.0,2247.0,0.0,3.0
382,215.0,216.0,0.0,2.0
383,217.0,2249.0,0.0,3.0
384,218.0,2250.0,0.0,4.0
385,201.0,202.0,0.0,2.0
386,326.0,453.0,0.0,2.0
387,328.0,455.0,0.0,2.0
388,344.0,471.0,0.0,2.0
389,350.0,477.0,0.0,2.0
390,358.0,485.0,0.0,2.0
391,372.0,499.0,0.0,2.0
392,377.0,504.0,0.0,2.0
393,379.0,506.0,0.0,2.0
394,380.0,507.0,0.0,2.0
395,384.0,511.0,0.0,2.0
396,387.0,514.0,0.0,2.0
397,392.0,519.0,0.0,2.0
398,405.0,532.0,0.0,2.0
399,412.0,539.0,0.0,2.0
400,444.0,571.0,0.0,2.0
401,580.0,2253.0,0.0,3.0
402,582.0,2254.0,0.0,3.0
403,614.0,2265.0,0.0,3.0
404,803.0,804.0,0.0,2.0
405,925.0,926.0,0.0,2.0
406,1545.0,1546.0,0.0,2.0
407,1547.0,2273.0,0.0,3.0
408,1548.0,2274.0,0.0,4.0
409,1549.0,2275.0,0.0,5.0
410,1550.0,2276.0,0.0,6.0
411,1551.0,2277.0,0.0,7.0
412,1552.0,2278.0,0.0,8.0
413,1553.0,2279.0,0.0,9.0
414,1554.0,2280.0,0.0,10.0
415,1555.0,2281.0,0.0,11.0
416,1556.0,2282.0,0.0,12.0
417,375.0,502.0,0.0,2.0
418,402.0,529.0,0.0,2.0
419,427.0,554.0,0.0,2.0
420,136.0,1933.0,0.0,4.0
421,137.0,2287.0,0.0,5.0
422,138.0,2288.0,0.0,6.0
423,139.0,2289.0,0.0,7.0
424,140.0,2290.0,0.0,8.0
425,147.0,2291.0,0.0,9.0
426,329.0,357.0,0.0,2.0
427,332.0,459.0,0.0,2.0
428,361.0,488.0,0.0,2.0
429,456.0,2293.0,0.0,3.0
430,484.0,2296.0,0.0,4.0
431,585.0,2294.0,0.0,3.0
432,625.0,2297.0,0.0,5.0
433,921.0,922.0,0.0,2.0
434,924.0,2300.0,0.0,3.0
435,1109.0,1117.0,0.0,2.0
436,1137.0,2302.0,0.0,3.0
437,1249.0,1251.0,0.0,2.0
438,1641.0,1642.0,0.0,2.0
439,122.0,124.0,0.0,2.0
440,334.0,461.0,0.0,2.0
441,420.0,547.0,0.0,2.0
442,421.0,548.0,0.0,2.0
443,442.0,569.0,0.0,2.0
444,667.0,1263.0,0.0,2.0
445,671.0,673.0,0.0,2.0
446,828.0,1910.0,0.0,3.0
447,837.0,2313.0,0.0,4.0
448,340.0,467.0,0.0,2.0
449,331.0,458.0,0.0,2.0
450,438.0,565.0,0.0,2.0
451,589.0,2316.0,0.0,3.0
452,700.0,851.0,0.0,2.0
453,181.0,183.0,0.0,2.0
454,413.0,540.0,0.0,2.0
455,418.0,545.0,0.0,2.0
456,431.0,558.0,0.0,2.0
457,351.0,478.0,0.0,2.0
458,447.0,574.0,0.0,2.0
459,648.0,1945.0,0.0,3.0
460,718.0,723.0,0.0,2.0
461,724.0,2327.0,0.0,3.0
462,1172.0,1173.0,0.0,2.0
463,1174.0,2329.0,0.0,3.0
464,1175.0,2330.0,0.0,4.0
465,1176.0,2331.0,0.0,5.0
466,121.0,166.0,0.0,2.0
467,219.0,220.0,0.0,2.0
468,1620.0,1621.0,0.0,2.0
469,363.0,490.0,0.0,2.0
470,376.0,503.0,0.0,2.0
471,389.0,516.0,0.0,2.0
472,944.0,947.0,0.0,2.0
473,1145.0,1148.0,0.0,2.0
474,1149.0,2340.0,0.0,3.0
475,1210.0,2319.0,0.0,3.0
476,1306.0,2342.0,0.0,4.0
477,1307.0,2343.0,0.0,5.0
