,Cluster1,Cluster2,Distance,New Cluster Size
0,0.0,4.0,0.0,2.0
1,1.0,3.0,0.0,2.0
2,6.0,903.0,0.0,3.0
3,7.0,902.0,0.0,3.0
4,17.0,904.0,0.0,4.0
5,61.0,71.0,0.0,2.0
6,72.0,73.0,0.0,2.0
7,74.0,908.0,0.0,3.0
8,75.0,909.0,0.0,4.0
9,79.0,907.0,0.0,3.0
10,89.0,911.0,0.0,4.0
11,125.0,912.0,0.0,5.0
12,126.0,913.0,0.0,6.0
13,134.0,914.0,0.0,7.0
14,161.0,915.0,0.0,8.0
15,168.0,916.0,0.0,9.0
16,169.0,917.0,0.0,10.0
17,170.0,918.0,0.0,11.0
18,172.0,919.0,0.0,12.0
19,173.0,920.0,0.0,13.0
20,174.0,921.0,0.0,14.0
21,14.0,25.0,0.0,2.0
22,47.0,923.0,0.0,3.0
23,370.0,725.0,0.0,2.0
24,183.0,922.0,0.0,15.0
25,199.0,926.0,0.0,16.0
26,200.0,927.0,0.0,17.0
27,202.0,928.0,0.0,18.0
28,207.0,929.0,0.0,19.0
29,208.0,930.0,0.0,20.0
30,210.0,931.0,0.0,21.0
31,246.0,247.0,0.0,2.0
32,248.0,394.0,0.0,2.0
33,262.0,932.0,0.0,22.0
34,263.0,935.0,0.0,23.0
35,264.0,936.0,0.0,24.0
36,274.0,937.0,0.0,25.0
37,294.0,933.0,0.0,3.0
38,296.0,910.0,0.0,5.0
39,299.0,300.0,0.0,2.0
40,128.0,774.0,0.0,2.0
41,244.0,281.0,0.0,2.0
42,250.0,401.0,0.0,2.0
43,352.0,938.0,0.0,26.0
44,366.0,945.0,0.0,27.0
45,367.0,946.0,0.0,28.0
46,378.0,947.0,0.0,29.0
47,382.0,939.0,0.0,4.0
48,383.0,948.0,0.0,30.0
49,393.0,950.0,0.0,31.0
50,407.0,951.0,0.0,32.0
51,13.0,21.0,0.0,2.0
52,18.0,906.0,0.0,5.0
53,19.0,954.0,0.0,6.0
54,23.0,955.0,0.0,7.0
55,24.0,956.0,0.0,8.0
56,27.0,953.0,0.0,3.0
57,36.0,958.0,0.0,4.0
58,37.0,959.0,0.0,5.0
59,52.0,960.0,0.0,6.0
60,53.0,961.0,0.0,7.0
61,54.0,962.0,0.0,8.0
62,55.0,963.0,0.0,9.0
63,56.0,964.0,0.0,10.0
64,57.0,965.0,0.0,11.0
