,Cluster1,Cluster2,Distance,New Cluster Size
0,0.0,7.0,0.0,2.0
1,1.0,8.0,0.0,2.0
2,1182.0,1183.0,0.0,2.0
3,44.0,75.0,0.0,2.0
4,230.0,231.0,0.0,2.0
5,85.0,86.0,0.0,2.0
6,42.0,43.0,0.0,2.0
7,78.0,79.0,0.0,2.0
8,1221.0,1230.0,0.0,2.0
9,1222.0,1232.0,0.0,2.0
10,60.0,61.0,0.0,2.0
11,62.0,1951.0,0.0,3.0
12,1227.0,1228.0,0.0,2.0
13,1268.0,1269.0,0.0,2.0
14,1272.0,1954.0,0.0,3.0
15,46.0,73.0,0.0,2.0
16,1195.0,1199.0,0.0,2.0
17,47.0,48.0,0.0,2.0
18,718.0,723.0,0.0,2.0
19,733.0,751.0,0.0,2.0
20,1218.0,1346.0,0.0,2.0
21,1338.0,1341.0,0.0,2.0
22,1342.0,1962.0,0.0,3.0
23,461.0,592.0,0.0,2.0
24,238.0,239.0,0.0,2.0
25,726.0,732.0,0.0,2.0
26,1256.0,1257.0,0.0,2.0
27,1258.0,1967.0,0.0,3.0
28,148.0,149.0,0.0,2.0
29,172.0,173.0,0.0,2.0
30,262.0,263.0,0.0,2.0
31,264.0,265.0,0.0,2.0
32,1632.0,1633.0,0.0,2.0
33,125.0,127.0,0.0,2.0
34,1270.0,1271.0,0.0,2.0
35,1273.0,1975.0,0.0,3.0
36,242.0,255.0,0.0,2.0
37,1543.0,1545.0,0.0,2.0
38,247.0,248.0,0.0,2.0
39,1627.0,1629.0,0.0,2.0
40,180.0,181.0,0.0,2.0
41,57.0,58.0,0.0,2.0
42,4.0,6.0,1.0,2.0
43,728.0,746.0,1.0,2.0
44,314.0,315.0,1.0,2.0
45,1423.0,1424.0,1.0,2.0
46,1462.0,1463.0,1.0,2.0
47,747.0,748.0,1.0,2.0
48,901.0,903.0,1.0,2.0
49,77.0,185.0,1.0,2.0
50,89.0,158.0,1.0,2.0
51,692.0,693.0,1.0,2.0
52,64.0,65.0,1.0,2.0
53,1421.0,1422.0,1.0,2.0
54,284.0,290.0,1.0,2.0
55,648.0,655.0,1.0,2.0
56,792.0,793.0,1.0,2.0
57,1196.0,1198.0,1.0,2.0
58,743.0,1331.0,1.0,2.0
59,749.0,761.0,1.0,2.0
60,799.0,800.0,1.0,2.0
61,1202.0,1204.0,1.0,2.0
62,475.0,477.0,1.0,2.0
63,1336.0,1347.0,1.0,2.0
64,38.0,39.0,1.0,2.0
65,420.0,547.0,1.0,2.0
66,1004.0,1006.0,1.0,2.0
67,661.0,1124.0,1.0,2.0
68,756.0,758.0,1.0,2.0
69,1337.0,1339.0,1.0,2.0
70,1343.0,1344.0,1.0,2.0
71,1334.0,1335.0,1.0,2.0
72,1359.0,1360.0,1.0,2.0
73,1009.0,1012.0,1.0,2.0
74,1002.0,1014.0,1.0,2.0
75,1022.0,2007.0,1.0,3.0
76,1050.0,1051.0,1.0,2.0
77,1030.0,1056.0,1.0,2.0
78,1143.0,1144.0,1.0,2.0
79,1262.0,1263.0,1.0,2.0
80,1281.0,1282.0,1.0,2.0
81,59.0,1392.0,1.0,2.0
82,1465.0,1999.0,1.0,3.0
83,1046.0,1047.0,1.0,2.0
84,1644.0,1645.0,1.0,2.0
85,1701.0,1702.0,1.0,2.0
86,1105.0,1125.0,1.0,2.0
87,996.0,997.0,1.0,2.0
88,1560.0,1565.0,1.0,2.0
89,1068.0,1766.0,1.0,2.0
90,1076.0,1078.0,1.0,2.0
91,1772.0,1773.0,1.0,2.0
92,245.0,252.0,1.0,2.0
93,1806.0,1807.0,1.0,2.0
94,1020.0,1023.0,1.0,2.0
95,25.0,26.0,1.0,2.0
96,1201.0,1203.0,1.0,2.0
97,1419.0,1420.0,1.0,2.0
98,1101.0,1115.0,1.0,2.0
99,1123.0,2039.0,1.0,3.0
100,5.0,1941.0,1.1547005383792515,3.0
101,97.0,1956.0,1.1547005383792515,3.0
102,1200.0,1957.0,1.1547005383792515,3.0
103,56.0,1958.0,1.1547005383792515,3.0
104,724.0,1959.0,1.1547005383792515,3.0
105,1340.0,1961.0,1.1547005383792515,3.0
106,731.0,1966.0,1.1547005383792515,3.0
107,1942.0,1983.0,1.224744871391589,4.0
108,839.0,1968.0,1.224744871391589,4.0
109,1960.0,2047.0,1.3662601021279464,5.0
110,1963.0,2046.0,1.5275252316519468,6.0
111,1345.0,2010.0,1.7320508075688772,3.0
112,1390.0,2022.0,1.7320508075688772,3.0
113,1075.0,1770.0,1.9999999999999998,2.0
114,10.0,11.0,2.0,2.0
115,12.0,2055.0,2.0,3.0
116,63.0,66.0,2.0,2.0
117,725.0,736.0,2.0,2.0
118,1165.0,1355.0,2.0,2.0
119,1460.0,1461.0,2.0,2.0
120,1167.0,1467.0,2.0,2.0
121,435.0,562.0,2.0,2.0
122,801.0,802.0,2.0,2.0
123,68.0,330.0,2.0,2.0
124,1064.0,1774.0,2.0,2.0
125,202.0,1497.0,2.0,2.0
126,226.0,1637.0,2.0,2.0
127,401.0,532.0,2.0,2.0
128,409.0,536.0,2.0,2.0
129,402.0,529.0,2.0,2.0
130,70.0,187.0,2.0,2.0
131,213.0,227.0,2.0,2.0
132,52.0,69.0,2.0,2.0
133,80.0,121.0,2.0,2.0
134,715.0,716.0,2.0,2.0
135,27.0,28.0,2.0,2.0
