,Cluster1,Cluster2,Distance,New Cluster Size
0,4.0,7.0,0.0,2.0
1,652.0,653.0,0.0,2.0
2,53.0,57.0,0.0,2.0
3,269.0,270.0,0.0,2.0
4,217.0,218.0,0.0,2.0
5,219.0,906.0,0.0,3.0
6,220.0,907.0,0.0,4.0
7,221.0,222.0,0.0,2.0
8,212.0,214.0,0.0,2.0
9,662.0,663.0,0.0,2.0
10,675.0,676.0,0.0,2.0
11,40.0,41.0,0.0,2.0
12,45.0,913.0,0.0,3.0
13,503.0,505.0,0.0,2.0
14,488.0,489.0,0.0,2.0
15,496.0,497.0,0.0,2.0
16,500.0,506.0,0.0,2.0
17,507.0,918.0,0.0,3.0
18,596.0,597.0,0.0,2.0
19,747.0,748.0,0.0,2.0
20,687.0,688.0,0.0,2.0
21,691.0,692.0,0.0,2.0
22,697.0,698.0,0.0,2.0
23,29.0,30.0,0.0,2.0
24,31.0,925.0,0.0,3.0
25,32.0,926.0,0.0,4.0
26,33.0,927.0,0.0,5.0
27,34.0,928.0,0.0,6.0
28,35.0,929.0,0.0,7.0
29,190.0,191.0,0.0,2.0
30,736.0,737.0,0.0,2.0
31,738.0,739.0,0.0,2.0
32,740.0,933.0,0.0,3.0
33,742.0,743.0,0.0,2.0
34,744.0,935.0,0.0,3.0
35,745.0,936.0,0.0,4.0
36,820.0,821.0,0.0,2.0
37,286.0,287.0,0.0,2.0
38,384.0,385.0,0.0,2.0
39,848.0,849.0,0.0,2.0
40,326.0,327.0,0.0,2.0
41,337.0,338.0,0.0,2.0
42,471.0,472.0,0.0,2.0
43,850.0,851.0,0.0,2.0
44,843.0,844.0,0.0,2.0
45,845.0,946.0,0.0,3.0
46,477.0,478.0,0.0,2.0
47,828.0,829.0,0.0,2.0
48,192.0,193.0,0.0,2.0
49,194.0,950.0,0.0,3.0
50,195.0,951.0,0.0,4.0
51,196.0,952.0,0.0,5.0
52,197.0,953.0,0.0,6.0
53,517.0,518.0,0.0,2.0
54,519.0,955.0,0.0,3.0
55,520.0,521.0,0.0,2.0
56,762.0,763.0,0.0,2.0
57,764.0,958.0,0.0,3.0
58,765.0,959.0,0.0,4.0
59,766.0,960.0,0.0,5.0
60,767.0,961.0,0.0,6.0
61,806.0,807.0,0.0,2.0
62,808.0,809.0,0.0,2.0
63,810.0,964.0,0.0,3.0
64,811.0,965.0,0.0,4.0
65,453.0,454.0,0.0,2.0
66,19.0,24.0,1.0,2.0
67,14.0,25.0,1.0,2.0
68,172.0,173.0,1.0,2.0
69,174.0,970.0,1.0,3.0
70,74.0,75.0,1.0,2.0
71,54.0,55.0,1.0,2.0
72,56.0,973.0,1.0,3.0
73,199.0,200.0,1.0,2.0
74,536.0,538.0,1.0,2.0
75,213.0,223.0,1.0,2.0
76,690.0,701.0,1.0,2.0
77,752.0,753.0,1.0,2.0
78,382.0,383.0,1.0,2.0
79,657.0,658.0,1.0,2.0
80,666.0,981.0,1.0,3.0
81,406.0,407.0,1.0,2.0
82,436.0,438.0,1.0,2.0
83,664.0,673.0,1.0,2.0
84,722.0,780.0,1.0,2.0
85,754.0,979.0,1.0,3.0
86,559.0,561.0,1.0,2.0
87,480.0,481.0,1.0,2.0
88,482.0,989.0,1.0,3.0
89,483.0,990.0,1.0,4.0
90,484.0,991.0,1.0,5.0
91,487.0,494.0,1.0,2.0
92,490.0,491.0,1.0,2.0
93,510.0,993.0,1.0,3.0
94,476.0,512.0,1.0,2.0
95,689.0,824.0,1.0,2.0
96,660.0,661.0,1.0,2.0
97,659.0,670.0,1.0,2.0
98,696.0,749.0,1.0,2.0
99,396.0,397.0,1.0,2.0
100,646.0,649.0,1.0,2.0
101,651.0,1002.0,1.0,3.0
102,746.0,826.0,1.0,2.0
103,721.0,723.0,1.0,2.0
104,725.0,734.0,1.0,2.0
105,729.0,1005.0,1.0,3.0
106,783.0,789.0,1.0,2.0
107,72.0,73.0,1.0,2.0
108,331.0,332.0,1.0,2.0
109,485.0,486.0,1.0,2.0
110,846.0,847.0,1.0,2.0
111,755.0,756.0,1.0,2.0
112,261.0,262.0,1.0,2.0
113,374.0,375.0,1.0,2.0
114,444.0,446.0,1.0,2.0
115,439.0,984.0,1.0,3.0
116,268.0,905.0,1.1547005383792515,3.0
117,674.0,912.0,1.1547005383792515,3.0
118,431.0,915.0,1.1547005383792515,3.0
119,492.0,916.0,1.1547005383792515,3.0
120,598.0,920.0,1.1547005383792515,3.0
121,669.0,921.0,1.1547005383792515,3.0
122,686.0,922.0,1.1547005383792515,3.0
123,160.0,931.0,1.1547005383792515,3.0
124,386.0,940.0,1.1547005383792515,3.0
125,708.0,924.0,1.1547005383792515,3.0
126,475.0,944.0,1.1547005383792515,3.0
127,514.0,957.0,1.1547005383792515,3.0
128,455.0,967.0,1.1547005383792515,3.0
129,909.0,977.0,1.224744871391589,4.0
130,499.0,919.0,1.224744871391589,4.0
131,911.0,985.0,1.224744871391589,4.0
132,904.0,974.0,1.2649110640673515,5.0
133,917.0,1021.0,1.3662601021279464,5.0
134,963.0,966.0,1.632993161855452,6.0
135,908.0,1031.0,1.6583123951776997,8.0
136,668.0,998.0,1.7320508075688772,3.0
137,1.0,3.0,2.0,2.0
138,6.0,23.0,2.0,2.0
139,203.0,393.0,2.0,2.0
140,377.0,1041.0,2.0,3.0
141,37.0,38.0,2.0,2.0
142,95.0,126.0,2.0,2.0
143,63.0,128.0,2.0,2.0
144,125.0,161.0,2.0,2.0
145,134.0,167.0,2.0,2.0
146,82.0,165.0,2.0,2.0
147,224.0,225.0,2.0,2.0
148,278.0,280.0,2.0,2.0
149,527.0,1042.0,2.0,4.0
150,92.0,361.0,2.0,2.0
151,129.0,204.0,2.0,2.0
152,138.0,388.0,2.0,2.0
153,622.0,625.0,2.0,2.0
154,464.0,778.0,2.0,2.0
155,502.0,504.0,2.0,2.0
156,544.0,568.0,2.0,2.0
157,569.0,570.0,2.0,2.0
158,288.0,290.0,2.0,2.0
159,626.0,1055.0,2.0,3.0
160,716.0,717.0,2.0,2.0
161,623.0,624.0,2.0,2.0
162,301.0,392.0,2.0,2.0
163,565.0,566.0,2.0,2.0
164,578.0,579.0,2.0,2.0
165,427.0,430.0,2.0,2.0
166,584.0,585.0,2.0,2.0
167,86.0,111.0,2.0,2.0
168,149.0,150.0,2.0,2.0
169,801.0,802.0,2.0,2.0
170,572.0,634.0,2.0,2.0
171,727.0,732.0,2.0,2.0
172,880.0,881.0,2.0,2.0
173,459.0,498.0,2.0,2.0
174,511.0,1075.0,2.0,3.0
175,441.0,1067.0,2.0,3.0
176,442.0,1077.0,2.0,4.0
177,416.0,462.0,2.0,2.0
178,493.0,1079.0,2.0,3.0
179,784.0,786.0,2.0,2.0
180,795.0,1081.0,2.0,3.0
181,613.0,665.0,2.0,2.0
182,667.0,671.0,2.0,2.0
183,672.0,1084.0,2.0,3.0
184,685.0,699.0,2.0,2.0
185,781.0,782.0,2.0,2.0
186,156.0,185.0,2.0,2.0
187,643.0,644.0,2.0,2.0
188,750.0,751.0,2.0,2.0
189,728.0,733.0,2.0,2.0
190,266.0,267.0,2.0,2.0
191,610.0,788.0,2.0,2.0
192,823.0,825.0,2.0,2.0
193,681.0,682.0,2.0,2.0
194,724.0,731.0,2.0,2.0
195,684.0,1095.0,2.0,3.0
196,791.0,794.0,2.0,2.0
197,700.0,1086.0,2.0,3.0
198,15.0,16.0,2.0,2.0
199,89.0,90.0,2.0,2.0
200,186.0,1088.0,2.0,3.0
201,720.0,726.0,2.0,2.0
202,284.0,285.0,2.0,2.0
203,787.0,790.0,2.0,2.0
204,281.0,1050.0,2.0,3.0
205,303.0,403.0,2.0,2.0
206,400.0,401.0,2.0,2.0
207,343.0,344.0,2.0,2.0
208,879.0,883.0,2.0,2.0
209,873.0,875.0,2.0,2.0
210,364.0,531.0,2.0,2.0
211,148.0,230.0,2.0,2.0
212,254.0,404.0,2.0,2.0
213,448.0,449.0,2.0,2.0
214,466.0,467.0,2.0,2.0
215,469.0,473.0,2.0,2.0
216,474.0,1117.0,2.0,3.0
217,609.0,612.0,2.0,2.0
218,615.0,702.0,2.0,2.0
219,839.0,841.0,2.0,2.0
220,563.0,564.0,2.0,2.0
221,853.0,854.0,2.0,2.0
222,263.0,264.0,2.0,2.0
223,834.0,1083.0,2.0,3.0
224,814.0,827.0,2.0,2.0
225,273.0,305.0,2.0,2.0
226,275.0,276.0,2.0,2.0
227,256.0,279.0,2.0,2.0
228,865.0,867.0,2.0,2.0
229,863.0,864.0,2.0,2.0
230,135.0,137.0,2.0,2.0
231,445.0,468.0,2.0,2.0
232,299.0,300.0,2.0,2.0
233,515.0,516.0,2.0,2.0
234,429.0,458.0,2.0,2.0
235,706.0,830.0,2.0,2.0
236,547.0,549.0,2.0,2.0
237,589.0,1138.0,2.0,3.0
238,703.0,757.0,2.0,2.0
239,923.0,1000.0,2.1213203435596424,4.0
240,937.0,962.0,2.190890230020664,10.0
241,18.0,968.0,2.23606797749979,3.0
242,201.0,975.0,2.23606797749979,3.0
243,779.0,986.0,2.23606797749979,3.0
244,599.0,997.0,2.23606797749979,3.0
245,730.0,1006.0,2.23606797749979,3.0
246,792.0,1008.0,2.23606797749979,3.0
247,330.0,1010.0,2.23606797749979,3.0
248,260.0,1014.0,2.23606797749979,3.0
249,956.0,1029.0,2.3094010767585025,6.0
250,0.0,902.0,2.309401076758503,3.0
251,819.0,938.0,2.309401076758503,3.0
252,215.0,941.0,2.309401076758503,3.0
253,216.0,910.0,2.309401076758503,3.0
254,325.0,942.0,2.309401076758503,3.0
255,336.0,943.0,2.309401076758503,3.0
256,934.0,1004.0,2.3237900077244498,5.0
257,650.0,1003.0,2.345207879911715,4.0
258,709.0,1027.0,2.3804761428476167,4.0
259,999.0,1085.0,2.4083189157584592,5.0
260,978.0,1099.0,2.4083189157584592,5.0
261,996.0,1076.0,2.4083189157584592,5.0
262,945.0,1121.0,2.449489742783178,4.0
263,932.0,1090.0,2.449489742783178,4.0
264,1007.0,1096.0,2.5298221281347035,5.0
265,971.0,1051.0,2.5634797778466227,7.0
266,1018.0,1045.0,2.581988897471611,5.0
267,1038.0,1161.0,2.6362852652928135,8.0
268,995.0,1080.0,2.6457513110645907,6.0
269,741.0,1158.0,2.6956755492207636,6.0
270,206.0,1048.0,2.70801280154532,3.0
271,586.0,1068.0,2.70801280154532,3.0
272,567.0,1065.0,2.70801280154532,3.0
273,376.0,1052.0,2.70801280154532,3.0
274,882.0,1074.0,2.70801280154532,3.0
275,277.0,1129.0,2.70801280154532,3.0
276,297.0,1127.0,2.70801280154532,3.0
277,868.0,1130.0,2.70801280154532,3.0
278,866.0,1131.0,2.70801280154532,3.0
279,735.0,1091.0,2.70801280154532,3.0
280,793.0,1105.0,2.70801280154532,3.0
281,804.0,1094.0,2.70801280154532,3.0
282,1024.0,1125.0,2.70801280154532,6.0
283,1034.0,1043.0,2.7464262493023806,7.0
284,1035.0,1136.0,2.767154288640743,7.0
285,1020.0,1078.0,2.7945525240230875,7.0
286,501.0,1032.0,2.846049894151541,5.0
287,683.0,1022.0,2.857738033247041,4.0
288,987.0,1165.0,2.8784916685156974,7.0
289,560.0,988.0,2.8867513459481287,3.0
290,447.0,1016.0,2.8867513459481287,3.0
291,992.0,994.0,2.9519969028245465,7.0
292,1046.0,1144.0,2.9664793948382653,5.0
293,949.0,982.0,2.9664793948382653,5.0
294,947.0,1012.0,2.9999999999999996,5.0
295,2.0,20.0,3.0,2.0
296,13.0,17.0,3.0,2.0
297,39.0,50.0,3.0,2.0
298,5.0,8.0,3.0,2.0
299,10.0,58.0,3.0,2.0
300,76.0,77.0,3.0,2.0
301,60.0,87.0,3.0,2.0
302,22.0,28.0,3.0,2.0
303,353.0,354.0,3.0,2.0
304,169.0,170.0,3.0,2.0
305,207.0,208.0,3.0,2.0
306,226.0,246.0,3.0,2.0
307,252.0,253.0,3.0,2.0
308,176.0,177.0,3.0,2.0
309,524.0,525.0,3.0,2.0
310,526.0,535.0,3.0,2.0
311,292.0,885.0,3.0,2.0
312,533.0,619.0,3.0,2.0
313,115.0,152.0,3.0,2.0
314,144.0,677.0,3.0,2.0
315,311.0,413.0,3.0,2.0
316,79.0,255.0,3.0,2.0
317,91.0,132.0,3.0,2.0
318,168.0,587.0,3.0,2.0
319,171.0,479.0,3.0,2.0
320,105.0,183.0,3.0,2.0
321,202.0,367.0,3.0,2.0
322,244.0,302.0,3.0,2.0
323,136.0,296.0,3.0,2.0
324,313.0,890.0,3.0,2.0
325,333.0,334.0,3.0,2.0
326,635.0,1061.0,3.0,4.0
327,247.0,248.0,3.0,2.0
328,314.0,315.0,3.0,2.0
329,640.0,1223.0,3.0,3.0
330,575.0,576.0,3.0,2.0
331,78.0,1202.0,3.0,3.0
332,837.0,1209.0,3.0,3.0
333,562.0,577.0,3.0,2.0
334,437.0,440.0,3.0,2.0
335,321.0,389.0,3.0,2.0
336,760.0,771.0,3.0,2.0
337,312.0,369.0,3.0,2.0
338,155.0,295.0,3.0,2.0
339,181.0,182.0,3.0,2.0
340,233.0,241.0,3.0,2.0
341,306.0,307.0,3.0,2.0
342,356.0,381.0,3.0,2.0
343,42.0,46.0,3.0,2.0
344,44.0,1199.0,3.0,3.0
345,245.0,1208.0,3.0,3.0
346,858.0,1247.0,3.0,4.0
347,641.0,642.0,3.0,2.0
348,83.0,209.0,3.0,2.0
349,346.0,539.0,3.0,2.0
350,542.0,555.0,3.0,2.0
351,541.0,553.0,3.0,2.0
352,557.0,590.0,3.0,2.0
353,580.0,582.0,3.0,2.0
354,234.0,571.0,3.0,2.0
355,573.0,605.0,3.0,2.0
356,554.0,595.0,3.0,2.0
357,600.0,601.0,3.0,2.0
358,656.0,693.0,3.0,2.0
359,27.0,36.0,3.0,2.0
360,98.0,99.0,3.0,2.0
361,153.0,154.0,3.0,2.0
362,157.0,158.0,3.0,2.0
363,97.0,102.0,3.0,2.0
364,100.0,546.0,3.0,2.0
365,390.0,391.0,3.0,2.0
366,419.0,421.0,3.0,2.0
367,714.0,796.0,3.0,2.0
368,647.0,648.0,3.0,2.0
369,654.0,1270.0,3.0,3.0
370,308.0,309.0,3.0,2.0
371,178.0,1210.0,3.0,3.0
372,591.0,680.0,3.0,2.0
373,434.0,611.0,3.0,2.0
374,631.0,705.0,3.0,2.0
375,835.0,1097.0,3.0,4.0
376,238.0,240.0,3.0,2.0
377,251.0,291.0,3.0,2.0
378,187.0,188.0,3.0,2.0
379,11.0,852.0,3.0,2.0
380,329.0,894.0,3.0,2.0
381,211.0,1273.0,3.0,4.0
382,417.0,1283.0,3.0,5.0
383,862.0,1284.0,3.0,6.0
384,345.0,350.0,3.0,2.0
385,351.0,530.0,3.0,2.0
386,80.0,113.0,3.0,2.0
