,Cluster1,Cluster2,Distance,New Cluster Size
0,0.0,4.0,0.0,2.0
1,1.0,5.0,0.0,2.0
2,2.0,6.0,0.0,2.0
3,828.0,829.0,0.0,2.0
4,7.0,1966.0,0.0,3.0
5,8.0,1967.0,0.0,3.0
6,9.0,1968.0,0.0,3.0
7,10.0,1970.0,0.0,4.0
8,11.0,1971.0,0.0,4.0
9,12.0,1972.0,0.0,4.0
10,123.0,752.0,0.0,2.0
11,753.0,1976.0,0.0,3.0
12,803.0,804.0,0.0,2.0
13,360.0,365.0,0.0,2.0
14,126.0,130.0,0.0,2.0
15,406.0,537.0,0.0,2.0
16,105.0,717.0,0.0,2.0
17,167.0,168.0,0.0,2.0
18,169.0,1983.0,0.0,3.0
19,40.0,46.0,0.0,2.0
20,41.0,1702.0,0.0,2.0
21,42.0,43.0,0.0,2.0
22,44.0,75.0,0.0,2.0
23,45.0,63.0,0.0,2.0
24,47.0,1985.0,0.0,3.0
25,48.0,1990.0,0.0,4.0
26,56.0,1991.0,0.0,5.0
27,50.0,77.0,0.0,2.0
28,51.0,52.0,0.0,2.0
29,54.0,1994.0,0.0,3.0
30,833.0,1296.0,0.0,2.0
31,1446.0,1996.0,0.0,3.0
32,55.0,1995.0,0.0,4.0
33,201.0,1998.0,0.0,5.0
34,68.0,1992.0,0.0,6.0
35,57.0,58.0,0.0,2.0
36,495.0,626.0,0.0,2.0
37,704.0,2002.0,0.0,3.0
38,59.0,1392.0,0.0,2.0
39,60.0,61.0,0.0,2.0
40,62.0,2005.0,0.0,3.0
41,1698.0,1999.0,0.0,6.0
42,1703.0,2007.0,0.0,7.0
43,64.0,1989.0,0.0,3.0
44,66.0,2009.0,0.0,4.0
45,94.0,2010.0,0.0,5.0
46,155.0,157.0,0.0,2.0
47,156.0,2011.0,0.0,6.0
48,160.0,738.0,0.0,2.0
49,69.0,2000.0,0.0,7.0
50,73.0,2015.0,0.0,8.0
51,70.0,1857.0,0.0,2.0
52,386.0,517.0,0.0,2.0
53,414.0,545.0,0.0,2.0
54,456.0,587.0,0.0,2.0
55,648.0,2018.0,0.0,3.0
56,655.0,2020.0,0.0,3.0
57,684.0,2021.0,0.0,4.0
58,82.0,2016.0,0.0,9.0
59,74.0,116.0,0.0,2.0
60,76.0,1988.0,0.0,3.0
61,1856.0,2026.0,0.0,4.0
62,714.0,1993.0,0.0,3.0
63,78.0,79.0,0.0,2.0
64,80.0,2029.0,0.0,3.0
65,113.0,2030.0,0.0,4.0
66,81.0,831.0,0.0,2.0
67,87.0,2024.0,0.0,10.0
68,83.0,84.0,0.0,2.0
69,180.0,2034.0,0.0,3.0
70,85.0,86.0,0.0,2.0
71,1700.0,2036.0,0.0,3.0
72,131.0,2033.0,0.0,11.0
73,89.0,90.0,0.0,2.0
74,146.0,2039.0,0.0,3.0
75,92.0,93.0,0.0,2.0
76,112.0,1571.0,0.0,2.0
77,1790.0,1843.0,0.0,2.0
78,515.0,646.0,0.0,2.0
79,411.0,542.0,0.0,2.0
80,96.0,136.0,0.0,2.0
81,98.0,99.0,0.0,2.0
82,108.0,165.0,0.0,2.0
83,101.0,102.0,0.0,2.0
84,103.0,2049.0,0.0,3.0
85,196.0,2050.0,0.0,4.0
86,104.0,715.0,0.0,2.0
87,106.0,191.0,0.0,2.0
88,107.0,1221.0,0.0,2.0
89,109.0,210.0,0.0,2.0
90,1579.0,2055.0,0.0,3.0
91,114.0,2031.0,0.0,5.0
92,115.0,2057.0,0.0,6.0
93,1287.0,2058.0,0.0,7.0
94,195.0,2025.0,0.0,3.0
95,174.0,175.0,0.0,2.0
96,508.0,639.0,0.0,2.0
97,234.0,1720.0,0.0,2.0
98,313.0,314.0,0.0,2.0
99,315.0,316.0,0.0,2.0
100,1280.0,1281.0,0.0,2.0
101,1282.0,2066.0,0.0,3.0
102,317.0,2061.0,0.0,3.0
